car_flag,gps_date_time,lng,lat,line_id,line_version,station_no
12045,20201210062345,105.413702,28.919752,2414,2006181839,0
12045,20201210063132,105.413508,28.92014,2414,2006181839,0
12045,20201210063147,105.413883,28.920335,2414,2006181839,0
12045,20201210063202,105.414462,28.919655,2414,2006181839,0
12045,20201210063217,105.415197,28.918823,2414,2006181839,0
12045,20201210063232,105.415958,28.917967,2414,2006181839,0
12045,20201210063247,105.41676,28.917067,2414,2006181839,0
12045,20201210063302,105.417565,28.916167,2414,2006181839,0
12045,20201210063317,105.41839,28.915235,2414,2006181839,0
12045,20201210063332,105.418962,28.914637,2414,2006181839,0
12045,20201210063347,105.419887,28.914833,2414,2006181839,0
12045,20201210063402,105.420967,28.915368,2414,2006181839,0
12045,20201210063417,105.422237,28.91606,2414,2006181839,0
12045,20201210063432,105.4234,28.91691,2414,2006181839,0
12045,20201210063447,105.424548,28.917962,2414,2006181839,0
12045,20201210063502,105.425705,28.919055,2414,2006181839,0
12045,20201210063517,105.426707,28.919565,2414,2006181839,0
12045,20201210063532,105.427565,28.918492,2414,2006181839,0
12045,20201210063547,105.428332,28.917278,2414,2006181839,0
12045,20201210063602,105.42906,28.916325,2414,2006181839,0
12045,20201210063617,105.429785,28.915848,2414,2006181839,0
12045,20201210063632,105.430893,28.915,2414,2006181839,0
12045,20201210063647,105.431975,28.914148,2414,2006181839,0
12045,20201210063702,105.432757,28.913563,2414,2006181839,0
12045,20201210063717,105.432763,28.913548,2414,2006181839,0
12045,20201210063732,105.43325,28.913132,2414,2006181839,0
12045,20201210063747,105.43415,28.912417,2414,2006181839,0
12045,20201210063802,105.43479,28.911462,2414,2006181839,0
12045,20201210063817,105.435328,28.910527,2414,2006181839,0
12045,20201210063832,105.435557,28.910092,2414,2006181839,0
12045,20201210063847,105.436187,28.90933,2414,2006181839,0
12045,20201210063902,105.43694,28.908205,2414,2006181839,0
12045,20201210063917,105.437572,28.907022,2414,2006181839,0
12045,20201210063932,105.438153,28.906028,2414,2006181839,0
12045,20201210063947,105.438625,28.905027,2414,2006181839,0
12045,20201210064002,105.438028,28.904083,2414,2006181839,0
12045,20201210064017,105.437378,28.903523,2414,2006181839,0
12045,20201210064032,105.437372,28.903515,2414,2006181839,0
12045,20201210064047,105.43736,28.903482,2414,2006181839,0
12045,20201210064102,105.437213,28.902648,2414,2006181839,0
12045,20201210064117,105.438005,28.901588,2414,2006181839,0
12045,20201210064132,105.438892,28.900722,2414,2006181839,0
12045,20201210064147,105.439258,28.899567,2414,2006181839,0
12045,20201210064202,105.438602,28.898805,2414,2006181839,0
12045,20201210064217,105.439042,28.898168,2414,2006181839,0
12045,20201210064232,105.439707,28.898143,2414,2006181839,0
12045,20201210064247,105.439883,28.898302,2414,2006181839,0
12045,20201210064933,105.439672,28.898237,2414,2006181839,0
12045,20201210065018,105.440257,28.898843,2414,2006181839,0
12045,20201210065033,105.439952,28.899335,2414,2006181839,0
12045,20201210065048,105.440393,28.899855,2414,2006181839,0
12045,20201210065103,105.441093,28.899753,2414,2006181839,0
12045,20201210065118,105.441905,28.899788,2414,2006181839,0
12045,20201210065133,105.442465,28.900342,2414,2006181839,0
12045,20201210065148,105.442753,28.900585,2414,2006181839,0
12045,20201210065203,105.442813,28.900648,2414,2006181839,0
12045,20201210065218,105.44331,28.90113,2414,2006181839,1
12045,20201210065233,105.443937,28.90176,2414,2006181839,1
12045,20201210065248,105.444575,28.90241,2414,2006181839,1
12045,20201210065303,105.445122,28.902938,2414,2006181839,2
12045,20201210065318,105.445528,28.903445,2414,2006181839,2
12045,20201210065333,105.446233,28.904163,2414,2006181839,2
12045,20201210065348,105.446633,28.904567,2414,2006181839,2
12045,20201210065403,105.447188,28.905168,2414,2006181839,2
12045,20201210065418,105.447843,28.90585,2414,2006181839,2
12045,20201210065433,105.448432,28.906595,2414,2006181839,2
12045,20201210065448,105.448162,28.90686,2414,2006181839,3
12045,20201210065518,105.447745,28.906945,2414,2006181839,3
12045,20201210065533,105.446763,28.907212,2414,2006181839,3
12045,20201210065548,105.446093,28.907207,2414,2006181839,4
12045,20201210065603,105.445812,28.906903,2414,2006181839,4
12045,20201210065618,105.445808,28.906885,2414,2006181839,4
12045,20201210065633,105.44536,28.906393,2414,2006181839,4
12045,20201210065648,105.444785,28.905752,2414,2006181839,5
12045,20201210065703,105.444407,28.905222,2414,2006181839,5
12045,20201210065718,105.444207,28.904948,2414,2006181839,5
12045,20201210065733,105.4442,28.904852,2414,2006181839,5
12045,20201210065748,105.443768,28.90435,2414,2006181839,5
12045,20201210065803,105.443335,28.903927,2414,2006181839,5
12045,20201210065848,105.44199,28.902133,2414,2006181839,5
